timestamp,latency_ms,jitter_ms,loss_pct,bandwidth_mbps,queue_drops,delta_tx_bytes,delta_rx_bytes,rssi_dbm,server_cpu_pct,server_ram_pct,congestion_state
525,4.923,0.525,0.0,-1.0,0,0,0,-46,17.400000000000006,83.69,MEDIUM
530,4.665,0.537,0.0,-1.0,0,0,0,-46,13.599999999999994,83.9,MEDIUM
535,4.218,0.123,0.0,-1.0,0,0,0,-46,9.5,84.11,MEDIUM
540,4.631,0.378,0.0,-1.0,0,0,0,-46,86.7,84.37,MEDIUM
545,5.641,0.936,0.0,0.0,0,0,0,-46,9.5,82.65,MEDIUM
550,4.744,0.174,0.0,-1.0,0,0,0,-46,9.5,82.6,MEDIUM
555,5.887,0.882,0.0,-1.0,0,0,0,-46,9.099999999999994,82.6,MEDIUM
560,4.498,0.699,0.0,-1.0,0,0,0,-46,13.599999999999994,82.75,MEDIUM
565,6.487,1.546,0.0,-1.0,0,0,0,-46,41.2,83.01,MEDIUM
570,4.684,0.328,0.0,0.0,0,0,0,-46,62.5,83.53,MEDIUM
575,4.793,0.583,0.0,-1.0,0,0,0,-46,9.5,83.69,MEDIUM
580,4.476,1.0,0.0,-1.0,0,0,0,-46,57.9,83.22,MEDIUM
585,4.961,0.621,0.0,-1.0,0,0,0,-46,9.5,81.97,MEDIUM
590,4.521,0.832,0.0,-1.0,0,0,0,-46,20.0,82.18,MEDIUM
595,4.637,0.301,0.0,0.0,0,0,0,-46,9.5,82.13,MEDIUM
600,4.003,0.147,0.0,-1.0,0,0,0,-46,20.0,82.02,MEDIUM
605,13.589,12.301,0.0,-1.0,0,0,0,-46,9.5,82.6,MEDIUM
610,4.611,0.501,0.0,-1.0,0,0,0,-46,13.599999999999994,82.7,MEDIUM
615,4.817,0.668,0.0,-1.0,0,0,0,-46,9.5,82.8,MEDIUM
620,4.809,0.273,0.0,0.0,0,0,0,-46,9.5,82.8,MEDIUM
625,5.128,0.876,0.0,-1.0,0,0,0,-46,9.5,82.91,MEDIUM
630,3.823,0.615,0.0,-1.0,0,0,0,-46,9.5,82.91,MEDIUM
635,4.171,0.336,0.0,-1.0,0,0,0,-46,9.5,82.86,MEDIUM
640,4.35,0.514,0.0,-1.0,0,0,0,-46,18.200000000000003,82.96,MEDIUM
645,4.441,0.187,0.0,0.0,0,0,0,-46,9.5,82.91,MEDIUM
650,4.479,0.296,0.0,-1.0,0,0,0,-46,10.0,82.91,MEDIUM
655,4.821,0.197,0.0,-1.0,0,0,0,-46,21.700000000000003,82.96,MEDIUM
660,4.888,0.464,0.0,-1.0,0,0,0,-46,9.5,82.75,MEDIUM
665,5.25,0.731,0.0,-1.0,0,0,0,-46,10.5,82.86,MEDIUM
670,4.498,0.562,0.0,0.0,0,0,0,-46,13.599999999999994,83.01,MEDIUM
675,4.652,0.465,0.0,-1.0,0,0,0,-46,9.5,82.49,MEDIUM
680,4.483,0.972,0.0,-1.0,0,0,0,-46,96.2,82.49,HIGH
685,5.208,1.103,0.0,-1.0,0,0,0,-46,9.099999999999994,82.44,MEDIUM
690,4.002,0.848,0.0,-1.0,0,0,0,-46,9.5,82.49,MEDIUM
695,4.564,0.43,0.0,0.0,0,0,0,-46,9.5,82.65,MEDIUM
700,4.908,0.494,0.0,-1.0,0,0,0,-46,14.299999999999997,82.49,MEDIUM
705,5.098,0.107,0.0,-1.0,0,0,0,-46,9.5,82.28,MEDIUM
710,4.272,0.971,0.0,-1.0,0,0,0,-46,9.5,82.28,MEDIUM
715,4.378,0.507,0.0,-1.0,0,0,0,-46,9.099999999999994,82.28,MEDIUM
720,6.142,1.064,0.0,0.0,0,0,0,-46,13.599999999999994,82.28,MEDIUM
725,4.859,0.842,0.0,-1.0,0,0,0,-46,14.299999999999997,82.28,MEDIUM
730,4.841,0.747,0.0,-1.0,0,0,0,-46,15.0,82.28,MEDIUM
735,4.646,0.384,0.0,-1.0,0,0,0,-46,9.5,82.28,MEDIUM
740,4.073,0.201,0.0,-1.0,0,0,0,-46,9.5,82.23,MEDIUM
745,4.974,0.451,0.0,0.0,0,0,0,-46,13.599999999999994,82.23,MEDIUM
750,5.261,0.997,0.0,-1.0,0,0,0,-46,19.0,82.13,MEDIUM
755,4.604,0.562,0.0,-1.0,0,0,0,-46,13.599999999999994,82.07,MEDIUM
